name,gender,social_status,allegiance_switched,time.hrs,died,death_description
Greizhen mo Ullhor,male,lowborn,1,1.14,1,Killed by the Unsullied on the orders of Daenerys Targaryen at plaza at Astapor
Genna ,female,lowborn,1,44.87,0,NA
Kayla,female,lowborn,1,44.86,0,NA
Shireen Baratheon,female,highborn,1,20.25,1,Burned alive by Melisandre as a sacrifice in field near Winterfell
Grey Worm,male,lowborn,1,43.15,0,NA
Olyvar,male,lowborn,1,43.07,0,NA
Walder Rivers,Male,highborn,1,28.81,1,Killed and carved into a pie by Arya Stark at The Twins
Lothar Frey,Male,highborn,1,28.81,1,Killed and carved into a pie by Arya Stark at The Twins
Razdal mo Eraz,Male,highborn,1,26.63,1,Throat slit with a knife by Grey Worm at the cliffs of Meereen
Violet,female,lowborn,1,0.28,1,Killed by Ramsay Bolton at Winterfell (not shown)
Myranda,female,lowborn,1,19.08,1,Thrown from a rampart by Theon Greyjoy at Winterfell castle grounds
Steelshanks,male,lowborn,1,26.91,1,Presumed killed prior to or during the Battle of Bastards
Prendahl na Ghezn,male,lowborn,1,0.63,1,Beheaded by Daario Naharis at Yunkai
Mero,male,lowborn,1,0.63,1,Beheaded by Daario Naharis at Yunkai
Daario Naharis,male,lowborn,2,41.2,0,NA
High Septon 2,male,lowborn,1,40.92,0,NA
Walda Frey/Bolton,female,lowborn,1,19.76,1,Mauled to death by Ramsay Bolton's hunting dogs in the Winterfell kennel
Freya Frey,female,highborn,1,40.37,0,NA
Derwa Frey,female,highborn,1,40.37,0,NA
Janeya Frey ,female,highborn,1,40.37,0,NA
Marianne Frey,female,highborn,1,40.37,0,NA
Merry Frey,female,highborn,1,40.37,0,NA
Neyela Frey,female,highborn,1,40.37,0,NA
Sarra Frey,female,highborn,1,40.37,0,NA
Shirei Frey,female,highborn,1,40.37,0,NA
Waldra Frey,female,highborn,1,40.37,0,NA
Roslin Frey,female,highborn,1,39.96,0,NA
Oberyn Martell,Male,highborn,1,6.42,1,Skull crushed by Gregor Clegane in Tyrion's (second) trial by combat in a fighting pit at King's Landing
Ellaria Sand,female,lowborn,1,38.55,0,NA
Styr,male,lowborn,1,6.75,1,Bludgeoned in the head with a forging hammer by Jon Snow at Castle Black
Thenn warg,male,lowborn,1,6.74,1,Shot in the head by Samwell Tarly with a crossbow at Castle Black
Tansy,Female,lowborn,1,0.03,1,Mauled to death by Ramsay Bolton's hunting dogs in the forest near the Dreadfort
Mace Tyrell,Male,highborn,1,23.38,1,Burned alive in a wildfire explosion in the Great Sept of Baelor
Axell Florent,Male,highborn,1,0,1,Burned at the stake by Melisandre at the beach at Dragonstone
Sally,Female,lowborn,1,23.96,1,Throat slit by her father to avoid starvation at a farm house (mercy killing)
Farmer (Sally's Father),male,lowborn,1,23.96,1,"Suicide with a knife, throat slit, at farm house"
Mole's town whore,Female,lowborn,1,3.67,1,Stabbed in the thorax with a spear by Ygritte inside a brothel in Mole's Town
